NC_Number,Common,Distance,Splitting,Migration,Duplicates,Deletions,Splits,Longest_Group,Total_Fusions,Group_Fusions,Inversions
NC_002678,Mesorhizobium loti,53.98,0.29,0.43,0,1,2,3,0,0
NC_003197,Salmonella enterica,1.35,0.00,1.00,0,0,0,7,0,0
NC_002947,Pseudomonas putida,32.41,0.29,0.14,1,4,2,1,0,0
NC_003198,Salmonella enterica,1.35,0.00,1.00,0,0,0,7,0,0
NC_003047,Sinorhizobium meliloti,53.98,0.14,0.29,0,4,1,2,0,0
NC_004463,Bradyrhizobium japonicum,53.02,0.29,0.14,1,4,2,1,0,0
NC_002929,Bordetella pertussis,42.91,0.29,0.14,1,4,2,1,0,0
NC_002927,Bordetella bronchiseptica,42.91,0.29,0.14,1,4,2,1,0,0
NC_000913,Escherichia coli,0.00,0.00,1.00,0,0,0,7,0,0
NC_002663,Pasteurella multocida,14.82,0.29,0.71,0,0,2,5,0,0
NC_004578,Pseudomonas syringae,32.52,0.14,0.29,0,4,1,2,0,0
NC_004741,Shigella flexneri,0.00,0.00,0.86,0,1,0,6,0,0
